"n","tau","kappa","estimator","Delta","metric","value","MCSE"
1000,0.75,0.25,"DML-IVQR",-0.25,"rejection_probability",0.094,0.0130509769749241
1000,0.75,0.25,"DML-IVQR",0.25,"rejection_probability",0.194,0.0176841171676734
1000,0.75,0.25,"DML-IVQR",0.5,"rejection_probability",0.374,0.0216390387956582
1000,0.75,0.1,"DML-IVQR",-0.5,"rejection_probability",0.088,0.0126693330526907
1000,0.75,0.1,"DML-IVQR",-0.25,"rejection_probability",0.064,0.0109456840809517
1000,0.75,0.1,"DML-IVQR",0.25,"rejection_probability",0.068,0.0112584190719657
1000,0.75,0.1,"DML-IVQR",0.5,"rejection_probability",0.072,0.0115599307956406
1000,0.9,1,"DML-IVQR",-0.5,"rejection_probability",0.692,0.0206463556106156
1000,0.9,1,"DML-IVQR",-0.25,"rejection_probability",0.096,0.0131745208641529
1000,0.9,1,"DML-IVQR",0.25,"rejection_probability",0.984,0.00561141693336006
1000,0.9,1,"DML-IVQR",0.5,"rejection_probability",1,0
1000,0.9,0.5,"DML-IVQR",-0.5,"rejection_probability",0.21,0.018215378118502
1000,0.9,0.5,"DML-IVQR",-0.25,"rejection_probability",0.066,0.0111035129576184
1000,0.9,0.5,"DML-IVQR",0.25,"rejection_probability",0.656,0.0212444816364156
1000,0.9,0.5,"DML-IVQR",0.5,"rejection_probability",0.898,0.0135348439222623
1000,0.9,0.25,"DML-IVQR",-0.5,"rejection_probability",0.096,0.0131745208641529
1000,0.9,0.25,"DML-IVQR",-0.25,"rejection_probability",0.062,0.0107848041243223
1000,0.9,0.25,"DML-IVQR",0.25,"rejection_probability",0.186,0.0174013792556797
1000,0.9,0.25,"DML-IVQR",0.5,"rejection_probability",0.324,0.020929596269398
1000,0.9,0.1,"DML-IVQR",-0.5,"rejection_probability",0.056,0.0102824121683582
1000,0.9,0.1,"DML-IVQR",-0.25,"rejection_probability",0.048,0.00955991631762538
1000,0.9,0.1,"DML-IVQR",0.25,"rejection_probability",0.076,0.0118510759005248
1000,0.9,0.1,"DML-IVQR",0.5,"rejection_probability",0.08,0.0121326007104825
