"n","tau","kappa","estimator","metric","value"
1000,0.75,0.1,"DML-IVQR","median_accepted_set_measure_A",3.8375
1000,0.75,0.1,"Full-GMM","median_accepted_set_measure_A",3.85
1000,0.75,0.1,"Oracle-GMM","median_accepted_set_measure_A",3.9
1000,0.9,1,"DML-IVQR","median_accepted_set_measure_A",0.45
1000,0.9,1,"Full-GMM","median_accepted_set_measure_A",1
1000,0.9,1,"Oracle-GMM","median_accepted_set_measure_A",0.5
1000,0.9,0.5,"DML-IVQR","median_accepted_set_measure_A",1.1
1000,0.9,0.5,"Full-GMM","median_accepted_set_measure_A",2.425
1000,0.9,0.5,"Oracle-GMM","median_accepted_set_measure_A",1.725
1000,0.9,0.25,"DML-IVQR","median_accepted_set_measure_A",3.375
1000,0.9,0.25,"Full-GMM","median_accepted_set_measure_A",3.625
1000,0.9,0.25,"Oracle-GMM","median_accepted_set_measure_A",3.65
1000,0.9,0.1,"DML-IVQR","median_accepted_set_measure_A",4
1000,0.9,0.1,"Full-GMM","median_accepted_set_measure_A",3.9
1000,0.9,0.1,"Oracle-GMM","median_accepted_set_measure_A",4
