"section","n","tau","kappa","estimator","replications","coverage","rejection_count","rejection_rate","MCSE","Wilson_lower","Wilson_upper","mean_W_true","median_W_true","q90_W_true","q95_W_true","max_W_true","coverage_rank","q50","q90","q95","q99","mean","maximum","q90_chisq2","q95_chisq2","q99_chisq2","aggregation","pilot_RMSE","authors_RMSE","RMSE_difference","RMSE_ratio","pilot_MAE","authors_MAE","MAE_difference","MAE_ratio","pilot_bias_estimate_minus_truth","pilot_bias_truth_minus_estimate","authors_bias_truth_minus_estimate","harmonized_bias_difference","all_grid_accepted_but_not_covered","no_grid_point_accepted_but_covered","grid_measure_four_but_not_covered","delta","power","null_rejection_rate","power_below_size","metric","value"
"coverage_matrix",500,0.9,0.25,"Full-GMM",50,0.82,9,0.18,0.0543323108288245,0.692039463256992,0.902298073297658,2.92713906202307,1.93796013428424,8.43954267523615,8.70121090876908,8.86650332847323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.9,0.25,"DML-IVQR",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,1.88408237124074,1.39420540766258,3.78363298970658,5.39379830338491,11.7007368338642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.9,0.1,"Oracle-GMM",50,0.98,1,0.02,0.0197989898732233,0.895045564103622,0.996460740728354,1.70279036213092,1.23201676205923,3.75774470372621,4.06289600560621,6.47334429889797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.9,0.1,"Full-GMM",50,0.96,2,0.04,0.027712812921102,0.86539909312493,0.98896111567238,1.77196999986945,1.09926674342016,4.06557618142807,5.10658334953254,8.37804120359158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.9,0.1,"DML-IVQR",50,0.96,2,0.04,0.027712812921102,0.86539909312493,0.98896111567238,1.68791883062702,1.05274927871992,3.84557173132931,4.52478407417996,11.1096191786113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,1,"Oracle-GMM",50,0.76,12,0.24,0.060398675482166,0.625873162420571,0.857026086030083,3.77075706869578,3.14285302780147,7.59640430163848,9.82383939811256,11.5161256594062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,1,"Full-GMM",50,0.36,32,0.64,0.0678822509939086,0.241387496518467,0.498589831238873,10.3309346323001,10.1874717770538,19.6017958105445,21.5540769777024,33.0846679843949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,1,"DML-IVQR",50,0.96,2,0.04,0.027712812921102,0.86539909312493,0.98896111567238,1.81267080927388,1.15816121462703,4.89382549418447,5.5573300375164,8.91270827188416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,0.5,"Oracle-GMM",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.60347204617737,2.28543111709797,5.46754500885573,6.53094459401436,6.74636536933963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,0.5,"Full-GMM",50,0.84,8,0.16,0.0518459255872629,0.71485783936965,0.916625793219666,3.39949223032992,2.53756187114393,8.12661639878314,9.46671594070053,13.4100931044407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,0.5,"DML-IVQR",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,1.97885860790356,1.4481530238727,4.65444764457826,6.84815353378631,9.14603394606853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,0.25,"Oracle-GMM",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,2.15508603379109,1.65122158326063,4.18365052806613,5.98895407057487,8.691486016915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,0.25,"Full-GMM",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.38159435557021,1.73696803573921,5.40065597813981,7.3454932677394,7.7841374825455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",1000,0.1,0.25,"DML-IVQR",50,0.9,5,0.1,0.0424264068711928,0.786397685625204,0.95652423506811,2.32039829720292,1.38071638251763,5.54550022565691,6.738337713169,9.24910705270979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
