"n","tau","kappa","estimator","mean_bias","MAE","RMSE","coverage","rejection_at_truth","MCSE_coverage","MCSE_size","mean_CR_length","median_CR_length","proportion_CR_all_A","proportion_CR_left_boundary","proportion_CR_right_boundary","point_left_boundary_rate","point_right_boundary_rate","successful_replications","failed_replications"
1000,0.25,1,"Full-GMM",0.136489750196082,0.153673440125492,0.189170430851623,0.74,0.26,0.0620322496770833,0.0620322496770833,0.43,0.4,0,0,0,0,0,50,0
1000,0.25,1,"Oracle-GMM",0.0264897501960818,0.0589795900078433,0.0692654810526197,0.9,0.1,0.0424264068711928,0.0424264068711929,0.25,0.25,0,0,0,0,0,50,0
1000,0.25,0.5,"DML-IVQR",0.0224897501960818,0.114204099921567,0.203474295339441,0.96,0.04,0.027712812921102,0.027712812921102,0.864,0.85,0,0,0,0,0,50,0
1000,0.25,0.5,"Full-GMM",0.124489750196082,0.193755080094119,0.263813756092973,0.94,0.06,0.0335857112474933,0.0335857112474933,0.961,0.875,0,0,0,0,0,50,0
1000,0.25,0.5,"Oracle-GMM",0.0524897501960818,0.0869387700235298,0.113451196008006,0.9,0.1,0.0424264068711928,0.0424264068711929,0.624,0.6,0,0,0,0,0,50,0
1000,0.25,0.25,"DML-IVQR",0.268489750196082,0.43493877002353,0.759375233965629,0.96,0.04,0.027712812921102,0.027712812921102,2.676,2.925,0,0.14,0.62,0,0.04,50,0
1000,0.25,0.25,"Full-GMM",0.192489750196082,0.440897950039216,0.613944870432639,0.94,0.06,0.0335857112474933,0.0335857112474933,2.537,2.75,0,0.28,0.4,0,0,50,0
1000,0.25,0.25,"Oracle-GMM",0.132489750196082,0.340897950039216,0.530650104972213,0.96,0.04,0.027712812921102,0.027712812921102,2.0215,2.0375,0,0.26,0.28,0.02,0,50,0
1000,0.25,0.1,"DML-IVQR",0.522489750196082,0.679755080094119,0.926440251208875,0.98,0.02,0.0197989898732233,0.0197989898732233,3.5535,3.775,0.38,0.6,0.94,0,0,50,0
1000,0.25,0.1,"Full-GMM",0.558489750196082,0.911836720062746,1.17390578884086,0.98,0.02,0.0197989898732233,0.0197989898732233,3.598,3.8375,0.22,0.84,0.84,0,0.02,50,0
1000,0.25,0.1,"Oracle-GMM",0.158489750196082,0.584,0.814163988958746,0.96,0.04,0.027712812921102,0.027712812921102,3.553,3.875,0.36,0.84,0.8,0,0.02,50,0
1000,0.5,1,"DML-IVQR",-0.0559999999999999,0.0719999999999999,0.0999999999999999,0.84,0.16,0.0518459255872629,0.0518459255872629,0.265,0.25,0,0,0,0,0,50,0
1000,0.5,1,"Full-GMM",0.0320000000000001,0.08,0.103923048454133,0.84,0.16,0.0518459255872629,0.0518459255872629,0.338,0.35,0,0,0,0,0,50,0
1000,0.5,1,"Oracle-GMM",0.014,0.034,0.058309518948453,0.88,0.12,0.0459565011723042,0.0459565011723042,0.224,0.2,0,0,0,0,0,50,0
1000,0.5,0.5,"DML-IVQR",-0.0399999999999999,0.108,0.156204993518133,0.88,0.12,0.0459565011723042,0.0459565011723042,0.596,0.6,0,0,0,0,0,50,0
1000,0.5,0.5,"Full-GMM",0.00800000000000011,0.16,0.208806130178211,0.94,0.06,0.0335857112474933,0.0335857112474933,0.751,0.75,0,0,0,0,0,50,0
1000,0.5,0.5,"Oracle-GMM",0.00800000000000008,0.088,0.126491106406735,0.88,0.12,0.0459565011723042,0.0459565011723042,0.504,0.5,0,0,0,0,0,50,0
1000,0.5,0.25,"DML-IVQR",-0.0299999999999999,0.226,0.308220700148449,0.9,0.1,0.0424264068711928,0.0424264068711929,1.7825,1.7,0,0.1,0.12,0,0,50,0
1000,0.5,0.25,"Full-GMM",-0.00999999999999988,0.302,0.417851648315524,0.92,0.08,0.0383666521865017,0.0383666521865018,2.0365,1.9,0.02,0.26,0.16,0,0,50,0
1000,0.5,0.25,"Oracle-GMM",-0.00199999999999989,0.206,0.296310647800581,0.92,0.08,0.0383666521865017,0.0383666521865018,1.656,1.5,0.02,0.18,0.06,0,0,50,0
1000,0.5,0.1,"DML-IVQR",0.15,0.594,0.823528991596532,0.92,0.08,0.0383666521865017,0.0383666521865018,3.331,3.55,0.28,0.66,0.86,0.02,0.04,50,0
1000,0.5,0.1,"Full-GMM",0.206,0.694,0.880340843082951,0.94,0.06,0.0335857112474933,0.0335857112474933,3.4525,3.75,0.18,0.74,0.8,0.02,0.02,50,0
1000,0.5,0.1,"Oracle-GMM",0.0600000000000001,0.592,0.838808679020431,0.86,0.14,0.0490713765855412,0.0490713765855412,3.412,3.7,0.3,0.8,0.72,0,0.02,50,0
1000,0.75,1,"DML-IVQR",-0.0924897501960815,0.103714260109806,0.131264442600933,0.68,0.32,0.0659696900098826,0.0659696900098826,0.278,0.275,0,0,0,0,0,50,0
1000,0.75,1,"Full-GMM",-0.134489750196081,0.153795900078433,0.211866686639982,0.8,0.2,0.0565685424949238,0.0565685424949238,0.485,0.5,0,0,0,0,0,50,0
1000,0.75,1,"Oracle-GMM",-0.0124897501960814,0.0651428699450972,0.0964986728404102,0.92,0.08,0.0383666521865017,0.0383666521865018,0.274,0.3,0,0,0,0,0,50,0
1000,0.75,0.5,"DML-IVQR",-0.0864897501960814,0.127918360031373,0.184760593441839,0.82,0.18,0.0543323108288245,0.0543323108288245,0.648,0.6,0,0,0,0,0,50,0
