"row_type","dataset_id","estimator","comparison","alpha","max_abs_latent_d_difference","max_abs_D_difference","exact_latent_d_identity","exact_D_identity","max_abs_W_difference","W_reference","W_thesis","difference","alpha_hat_reference","alpha_hat_thesis","min_W_reference","min_W_thesis","alpha_hat_exact_match","W_tolerance_match","selected_lambda_reference","lambda_vector_exact_match","status"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2.3,NA,NA,NA,NA,NA,78.826761284189,78.826761284189,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2.4,NA,NA,NA,NA,NA,77.0444831471935,77.0444831471935,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2.5,NA,NA,NA,NA,NA,75.1674628547229,75.1674628547229,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2.6,NA,NA,NA,NA,NA,80.8535832755056,80.8535832755056,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2.7,NA,NA,NA,NA,NA,78.5635737549446,78.5635737549446,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2.8,NA,NA,NA,NA,NA,85.6349970190664,85.6349970190664,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2.9,NA,NA,NA,NA,NA,87.9222369145681,87.9222369145681,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",3,NA,NA,NA,NA,NA,91.9736221403211,91.9736221403211,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",1,"Full-GMM","FULL_TABLE2",NA,NA,NA,NA,NA,0,NA,NA,NA,0.9,0.9,1.74675423654429,1.74675423654429,TRUE,TRUE,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",-1,NA,NA,NA,NA,NA,60.468639218653,60.468639218653,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",-0.9,NA,NA,NA,NA,NA,69.9095597974373,69.9095597974373,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",-0.8,NA,NA,NA,NA,NA,60.6374997053241,60.6374997053241,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",-0.7,NA,NA,NA,NA,NA,52.4670293182125,52.4670293182125,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",-0.6,NA,NA,NA,NA,NA,47.3649457605509,47.3649457605509,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",-0.5,NA,NA,NA,NA,NA,42.4881673833677,42.4881673833677,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",-0.4,NA,NA,NA,NA,NA,43.839520060141,43.839520060141,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",-0.3,NA,NA,NA,NA,NA,47.5004700387644,47.5004700387644,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",-0.2,NA,NA,NA,NA,NA,42.1409740665521,42.1409740665521,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",-0.1,NA,NA,NA,NA,NA,34.0621890208012,34.0621890208012,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",0,NA,NA,NA,NA,NA,37.1449013049211,37.1449013049211,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",0.1,NA,NA,NA,NA,NA,24.4334569898071,24.4334569898071,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",0.2,NA,NA,NA,NA,NA,23.2063055633447,23.2063055633447,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",0.3,NA,NA,NA,NA,NA,22.9506564736001,22.9506564736001,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",0.4,NA,NA,NA,NA,NA,17.8084611132699,17.8084611132699,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",0.5,NA,NA,NA,NA,NA,9.97567818030236,9.97567818030236,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",0.6,NA,NA,NA,NA,NA,16.6854145830502,16.6854145830502,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",0.7,NA,NA,NA,NA,NA,6.61458245319571,6.61458245319571,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",0.8,NA,NA,NA,NA,NA,7.07270178531475,7.07270178531475,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Full-GMM","FULL_TABLE2",0.9,NA,NA,NA,NA,NA,1.74675423654429,1.74675423654429,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
