"n","tau","kappa","estimator","delta","rejection_probability","MCSE","successful_replications","failed_replications"
1000,0.25,0.5,"DML-IVQR",-0.5,0.878,0.0146366662871024,500,0
1000,0.25,0.5,"DML-IVQR",-0.25,0.306,0.0206089301032344,500,0
1000,0.25,0.5,"DML-IVQR",0.25,0.214,0.0183414285157945,500,0
1000,0.25,0.5,"DML-IVQR",0.5,0.49,0.0223562071917398,500,0
1000,0.25,0.5,"Full-GMM",-0.5,0.812,0.0174731794473702,500,0
1000,0.25,0.5,"Full-GMM",-0.25,0.458,0.0222816516443463,500,0
1000,0.25,0.5,"Full-GMM",0.25,0.09,0.0127984374046209,500,0
1000,0.25,0.5,"Full-GMM",0.5,0.298,0.0204546327270865,500,0
1000,0.25,0.5,"Oracle-GMM",-0.5,0.946,0.0101078187557949,500,0
1000,0.25,0.5,"Oracle-GMM",-0.25,0.546,0.0222658482883541,500,0
1000,0.25,0.5,"Oracle-GMM",0.25,0.322,0.0208957411928843,500,0
1000,0.25,0.5,"Oracle-GMM",0.5,0.708,0.0203340109176719,500,0
1000,0.25,0.25,"DML-IVQR",-0.5,0.34,0.0211849002829846,500,0
1000,0.25,0.25,"DML-IVQR",-0.25,0.138,0.01542439626047,500,0
1000,0.25,0.25,"DML-IVQR",0.25,0.064,0.0109456840809517,500,0
1000,0.25,0.25,"DML-IVQR",0.5,0.122,0.0146366662871024,500,0
1000,0.25,0.25,"Full-GMM",-0.5,0.302,0.0205327056181108,500,0
1000,0.25,0.25,"Full-GMM",-0.25,0.142,0.0156099967969247,500,0
1000,0.25,0.25,"Full-GMM",0.25,0.054,0.0101078187557949,500,0
1000,0.25,0.25,"Full-GMM",0.5,0.116,0.0143208938268531,500,0
1000,0.25,0.25,"Oracle-GMM",-0.5,0.382,0.0217290588843604,500,0
1000,0.25,0.25,"Oracle-GMM",-0.25,0.158,0.0163117135825762,500,0
1000,0.25,0.25,"Oracle-GMM",0.25,0.106,0.0137669168661687,500,0
1000,0.25,0.25,"Oracle-GMM",0.5,0.222,0.0185858010319706,500,0
1000,0.25,0.1,"DML-IVQR",-0.5,0.12,0.014532721699668,500,0
1000,0.25,0.1,"DML-IVQR",-0.25,0.076,0.0118510759005248,500,0
1000,0.25,0.1,"DML-IVQR",0.25,0.05,0.00974679434480896,500,0
1000,0.25,0.1,"DML-IVQR",0.5,0.052,0.00992935043192655,500,0
1000,0.25,0.1,"Full-GMM",-0.5,0.1,0.0134164078649987,500,0
1000,0.25,0.1,"Full-GMM",-0.25,0.07,0.0114105214604767,500,0
1000,0.25,0.1,"Full-GMM",0.25,0.044,0.00917213170424411,500,0
1000,0.25,0.1,"Full-GMM",0.5,0.056,0.0102824121683582,500,0
1000,0.25,0.1,"Oracle-GMM",-0.5,0.112,0.014103616557465,500,0
1000,0.25,0.1,"Oracle-GMM",-0.25,0.052,0.00992935043192655,500,0
1000,0.25,0.1,"Oracle-GMM",0.25,0.054,0.0101078187557949,500,0
1000,0.25,0.1,"Oracle-GMM",0.5,0.088,0.0126693330526907,500,0
1000,0.5,1,"DML-IVQR",-0.5,1,0,500,0
1000,0.5,1,"DML-IVQR",-0.25,0.818,0.0172554918793989,500,0
1000,0.5,1,"DML-IVQR",0.25,0.976,0.00684455988358638,500,0
1000,0.5,1,"DML-IVQR",0.5,1,0,500,0
1000,0.5,1,"Full-GMM",-0.5,1,0,500,0
1000,0.5,1,"Full-GMM",-0.25,0.732,0.0198078772209442,500,0
1000,0.5,1,"Full-GMM",0.25,0.746,0.0194671004517879,500,0
1000,0.5,1,"Full-GMM",0.5,1,0,500,0
1000,0.5,1,"Oracle-GMM",-0.5,1,0,500,0
1000,0.5,1,"Oracle-GMM",-0.25,0.974,0.00711674082709214,500,0
1000,0.5,1,"Oracle-GMM",0.25,0.978,0.00655987804764693,500,0
1000,0.5,1,"Oracle-GMM",0.5,1,0,500,0
1000,0.5,0.5,"DML-IVQR",-0.5,0.814,0.0174013792556797,500,0
