"n","tau","kappa","estimator","delta","rejection_probability","MCSE","successful_replications","failed_replications"
500,0.5,0.5,"Oracle-GMM",-0.5,0.498,0.0223605008888441,500,0
500,0.5,0.5,"Oracle-GMM",-0.25,0.22,0.0185256578830551,500,0
500,0.5,0.5,"Oracle-GMM",0.25,0.236,0.0189896814085966,500,0
500,0.5,0.5,"Oracle-GMM",0.5,0.564,0.0221767445762447,500,0
500,0.5,0.25,"DML-IVQR",-0.5,0.196,0.017752971582245,500,0
500,0.5,0.25,"DML-IVQR",-0.25,0.086,0.0125382614424808,500,0
500,0.5,0.25,"DML-IVQR",0.25,0.058,0.0104533248299285,500,0
500,0.5,0.25,"DML-IVQR",0.5,0.1,0.0134164078649987,500,0
500,0.5,0.25,"Full-GMM",-0.5,0.118,0.0144274737913468,500,0
500,0.5,0.25,"Full-GMM",-0.25,0.066,0.0111035129576184,500,0
500,0.5,0.25,"Full-GMM",0.25,0.072,0.0115599307956406,500,0
500,0.5,0.25,"Full-GMM",0.5,0.1,0.0134164078649987,500,0
500,0.5,0.25,"Oracle-GMM",-0.5,0.152,0.0160559023415067,500,0
500,0.5,0.25,"Oracle-GMM",-0.25,0.106,0.0137669168661687,500,0
500,0.5,0.25,"Oracle-GMM",0.25,0.074,0.0117067501895274,500,0
500,0.5,0.25,"Oracle-GMM",0.5,0.17,0.016798809481627,500,0
500,0.5,0.1,"DML-IVQR",-0.5,0.104,0.013651666564929,500,0
500,0.5,0.1,"DML-IVQR",-0.25,0.052,0.00992935043192655,500,0
500,0.5,0.1,"DML-IVQR",0.25,0.028,0.00737780455149091,500,0
500,0.5,0.1,"DML-IVQR",0.5,0.048,0.00955991631762538,500,0
500,0.5,0.1,"Full-GMM",-0.5,0.058,0.0104533248299285,500,0
500,0.5,0.1,"Full-GMM",-0.25,0.054,0.0101078187557949,500,0
500,0.5,0.1,"Full-GMM",0.25,0.068,0.0112584190719657,500,0
500,0.5,0.1,"Full-GMM",0.5,0.058,0.0104533248299285,500,0
500,0.5,0.1,"Oracle-GMM",-0.5,0.066,0.0111035129576184,500,0
500,0.5,0.1,"Oracle-GMM",-0.25,0.056,0.0102824121683582,500,0
500,0.5,0.1,"Oracle-GMM",0.25,0.056,0.0102824121683582,500,0
500,0.5,0.1,"Oracle-GMM",0.5,0.064,0.0109456840809517,500,0
500,0.75,1,"DML-IVQR",-0.5,0.746,0.0194671004517879,500,0
500,0.75,1,"DML-IVQR",-0.25,0.176,0.017030795636141,500,0
500,0.75,1,"DML-IVQR",0.25,0.904,0.0131745208641529,500,0
500,0.75,1,"DML-IVQR",0.5,1,0,500,0
