"n","tau","kappa","estimator","mean_signed_error","Bias","MAE","RMSE","coverage","size_null_rejection_rate","MCSE_coverage","median_accepted_set_measure_A","mean_accepted_set_measure_A","full_A_acceptance_rate","left_CR_boundary_contact_rate","right_CR_boundary_contact_rate","point_left_boundary_rate","point_right_boundary_rate","numerical_failure_rate","successful_replications","failed_replications"
1000,0.25,0.25,"Oracle-GMM",0.122889750196082,-0.122889750196082,0.300257139016471,0.490835339704931,0.95,0.05,0.00974679434480897,2.15,2.2393,0.044,0.268,0.328,0,0.004,0,500,0
1000,0.25,0.1,"DML-IVQR",0.487889750196082,-0.487889750196082,0.834783663044707,1.1082043351054,0.968,0.032,0.00787095928079926,3.9125,3.66925,0.446,0.752,0.95,0.018,0.026,0,500,0
1000,0.25,0.1,"Full-GMM",0.428089750196082,-0.428089750196082,0.863469376050197,1.10059432772614,0.95,0.05,0.00974679434480897,3.85,3.61905,0.308,0.816,0.882,0.026,0.016,0,500,0
1000,0.25,0.1,"Oracle-GMM",0.303889750196082,-0.303889750196082,0.727130606026667,0.99310856419338,0.96,0.04,0.00876356092008266,3.9,3.552,0.428,0.818,0.842,0.022,0.02,0,500,0
1000,0.5,1,"DML-IVQR",-0.0509999999999999,0.0509999999999999,0.0665999999999999,0.0891066776397818,0.834,0.166,0.0166399519230075,0.25,0.2659,0,0,0,0,0,0,500,0
1000,0.5,1,"Full-GMM",-0.00139999999999993,0.00139999999999993,0.0746,0.102078401241399,0.912,0.088,0.0126693330526907,0.35,0.3626,0,0,0,0,0,0,500,0
1000,0.5,1,"Oracle-GMM",0.00600000000000005,-0.00600000000000005,0.044,0.0684105255059483,0.884,0.116,0.0143208938268531,0.25,0.2236,0,0,0,0,0,0,500,0
1000,0.5,0.5,"DML-IVQR",-0.0405999999999999,0.0405999999999999,0.1138,0.154077902374091,0.928,0.072,0.0115599307956406,0.6,0.6328,0,0,0,0,0,0,500,0
1000,0.5,0.5,"Full-GMM",0.000600000000000104,-0.000600000000000104,0.1498,0.196010203816026,0.932,0.068,0.0112584190719657,0.8,0.822,0,0,0,0,0,0,500,0
1000,0.5,0.5,"Oracle-GMM",0.00680000000000008,-0.00680000000000008,0.0932,0.130384048104053,0.928,0.072,0.0115599307956406,0.525,0.5511,0,0,0,0,0,0,500,0
1000,0.5,0.25,"DML-IVQR",0.0254000000000001,-0.0254000000000001,0.2738,0.405043207571736,0.942,0.058,0.0104533248299285,1.9,2.028,0.026,0.126,0.326,0,0.002,0,500,0
1000,0.5,0.25,"Full-GMM",-0.0211999999999999,0.0211999999999999,0.368,0.51656558150926,0.942,0.058,0.0104533248299285,2.1875,2.25115,0.02,0.304,0.194,0.002,0,0,500,0
1000,0.5,0.25,"Oracle-GMM",0.0126000000000001,-0.0126000000000001,0.2626,0.398421886948998,0.948,0.052,0.00992935043192656,1.8,1.9168,0.022,0.258,0.174,0,0,0,500,0
1000,0.5,0.1,"DML-IVQR",0.1544,-0.1544,0.7036,0.905339715245057,0.938,0.062,0.0107848041243223,3.825,3.49325,0.368,0.734,0.876,0.014,0.022,0,500,0
1000,0.5,0.1,"Full-GMM",0.0182000000000001,-0.0182000000000001,0.7954,1.00034993877143,0.93,0.07,0.0114105214604767,3.8,3.5146,0.312,0.836,0.792,0.022,0.016,0,500,0
1000,0.5,0.1,"Oracle-GMM",-0.00179999999999988,0.00179999999999988,0.6718,0.882689073230206,0.954,0.046,0.00936845771725528,3.85,3.47965,0.37,0.828,0.778,0.018,0.022,0,500,0
1000,0.75,1,"DML-IVQR",-0.0968897501960815,0.0968897501960815,0.105955071132551,0.125083426932024,0.708,0.292,0.0203340109176719,0.3,0.2818,0,0,0,0,0,0,500,0
1000,0.75,1,"Full-GMM",-0.112289750196081,0.112289750196081,0.137853039094903,0.171581315996522,0.816,0.184,0.0173288199251998,0.5,0.496,0,0,0,0,0,0,500,0
1000,0.75,1,"Oracle-GMM",-0.0148897501960815,0.0148897501960815,0.064481639968627,0.0801844415139353,0.9,0.1,0.0134164078649987,0.25,0.2749,0,0,0,0,0,0,500,0
1000,0.75,0.5,"DML-IVQR",-0.0884897501960814,0.0884897501960814,0.135224474067452,0.176165932829719,0.892,0.108,0.0138806339912844,0.65,0.70485,0,0,0.002,0,0,0,500,0
1000,0.75,0.5,"Full-GMM",-0.134689750196081,0.134689750196081,0.223432638064315,0.308183855527642,0.912,0.088,0.0126693330526907,1.15,1.2034,0,0.024,0,0,0,0,500,0
