"n","tau","kappa","estimator","Delta","total_replications","successful_power_evaluations","failed_power_evaluations","power","false_acceptance","numerical_failures"
500,0.9,0.25,"Oracle-GMM",0.25,500,500,0,0.102,0.898,0
500,0.1,0.5,"Oracle-GMM",0.25,500,500,0,0.09,0.91,0
500,0.25,0.5,"Oracle-GMM",0.25,500,500,0,0.138,0.862,0
500,0.5,0.5,"Oracle-GMM",0.25,500,500,0,0.22,0.78,0
500,0.75,0.5,"Oracle-GMM",0.25,500,500,0,0.286,0.714,0
500,0.9,0.5,"Oracle-GMM",0.25,500,500,0,0.212,0.788,0
500,0.1,1,"Oracle-GMM",0.25,500,500,0,0.12,0.88,0
500,0.25,1,"Oracle-GMM",0.25,500,500,0,0.45,0.55,0
500,0.5,1,"Oracle-GMM",0.25,500,500,0,0.734,0.266,0
500,0.75,1,"Oracle-GMM",0.25,500,500,0,0.772,0.228,0
500,0.9,1,"Oracle-GMM",0.25,500,500,0,0.584,0.416,0
500,0.1,0.1,"Full-GMM",0.25,500,500,0,0.07,0.93,0
500,0.25,0.1,"Full-GMM",0.25,500,500,0,0.044,0.956,0
500,0.5,0.1,"Full-GMM",0.25,500,500,0,0.044,0.956,0
500,0.75,0.1,"Full-GMM",0.25,500,500,0,0.042,0.958,0
500,0.9,0.1,"Full-GMM",0.25,500,500,0,0.058,0.942,0
500,0.1,0.25,"Full-GMM",0.25,500,500,0,0.052,0.948,0
500,0.25,0.25,"Full-GMM",0.25,500,500,0,0.054,0.946,0
500,0.5,0.25,"Full-GMM",0.25,500,500,0,0.052,0.948,0
500,0.75,0.25,"Full-GMM",0.25,500,500,0,0.074,0.926,0
500,0.9,0.25,"Full-GMM",0.25,500,500,0,0.086,0.914,0
500,0.1,0.5,"Full-GMM",0.25,500,500,0,0.108,0.892,0
500,0.25,0.5,"Full-GMM",0.25,500,500,0,0.054,0.946,0
500,0.5,0.5,"Full-GMM",0.25,500,500,0,0.116,0.884,0
500,0.75,0.5,"Full-GMM",0.25,500,500,0,0.2,0.8,0
500,0.9,0.5,"Full-GMM",0.25,500,500,0,0.21,0.79,0
500,0.1,1,"Full-GMM",0.25,500,500,0,0.248,0.752,0
500,0.25,1,"Full-GMM",0.25,500,500,0,0.052,0.948,0
500,0.5,1,"Full-GMM",0.25,500,500,0,0.324,0.676,0
500,0.75,1,"Full-GMM",0.25,500,500,0,0.608,0.392,0
500,0.9,1,"Full-GMM",0.25,500,500,0,0.724,0.276,0
500,0.1,0.1,"DML-IVQR-BC",0.25,500,500,0,0.058,0.942,0
500,0.25,0.1,"DML-IVQR-BC",0.25,500,500,0,0.038,0.962,0
500,0.5,0.1,"DML-IVQR-BC",0.25,500,500,0,0.032,0.968,0
500,0.75,0.1,"DML-IVQR-BC",0.25,500,500,0,0.05,0.95,0
500,0.9,0.1,"DML-IVQR-BC",0.25,500,500,0,0.06,0.94,0
500,0.1,0.25,"DML-IVQR-BC",0.25,500,500,0,0.046,0.954,0
500,0.25,0.25,"DML-IVQR-BC",0.25,500,500,0,0.03,0.97,0
500,0.5,0.25,"DML-IVQR-BC",0.25,500,500,0,0.054,0.946,0
500,0.75,0.25,"DML-IVQR-BC",0.25,500,500,0,0.084,0.916,0
500,0.9,0.25,"DML-IVQR-BC",0.25,500,500,0,0.1,0.9,0
500,0.1,0.5,"DML-IVQR-BC",0.25,500,500,0,0.038,0.962,0
500,0.25,0.5,"DML-IVQR-BC",0.25,500,500,0,0.042,0.958,0
500,0.5,0.5,"DML-IVQR-BC",0.25,500,500,0,0.144,0.856,0
500,0.75,0.5,"DML-IVQR-BC",0.25,500,500,0,0.304,0.696,0
500,0.9,0.5,"DML-IVQR-BC",0.25,500,500,0,0.314,0.686,0
500,0.1,1,"DML-IVQR-BC",0.25,500,500,0,0.028,0.972,0
500,0.25,1,"DML-IVQR-BC",0.25,500,500,0,0.248,0.752,0
500,0.5,1,"DML-IVQR-BC",0.25,500,500,0,0.716,0.284,0
500,0.75,1,"DML-IVQR-BC",0.25,500,500,0,0.896,0.104,0
500,0.9,1,"DML-IVQR-BC",0.25,500,500,0,0.882,0.118,0
500,0.1,0.1,"Oracle-GMM",0.5,500,500,0,0.07,0.93,0
500,0.25,0.1,"Oracle-GMM",0.5,500,500,0,0.05,0.95,0
500,0.5,0.1,"Oracle-GMM",0.5,500,500,0,0.062,0.938,0
500,0.75,0.1,"Oracle-GMM",0.5,500,500,0,0.076,0.924,0
500,0.9,0.1,"Oracle-GMM",0.5,500,500,0,0.068,0.932,0
500,0.1,0.25,"Oracle-GMM",0.5,500,500,0,0.074,0.926,0
500,0.25,0.25,"Oracle-GMM",0.5,500,500,0,0.1,0.9,0
500,0.5,0.25,"Oracle-GMM",0.5,500,500,0,0.164,0.836,0
500,0.75,0.25,"Oracle-GMM",0.5,500,500,0,0.184,0.816,0
500,0.9,0.25,"Oracle-GMM",0.5,500,500,0,0.162,0.838,0
500,0.1,0.5,"Oracle-GMM",0.5,500,500,0,0.144,0.856,0
500,0.25,0.5,"Oracle-GMM",0.5,500,500,0,0.33,0.67,0
500,0.5,0.5,"Oracle-GMM",0.5,500,500,0,0.56,0.44,0
500,0.75,0.5,"Oracle-GMM",0.5,500,500,0,0.646,0.354,0
500,0.9,0.5,"Oracle-GMM",0.5,500,500,0,0.446,0.554,0
500,0.1,1,"Oracle-GMM",0.5,500,500,0,0.482,0.518,0
500,0.25,1,"Oracle-GMM",0.5,500,500,0,0.93,0.07,0
500,0.5,1,"Oracle-GMM",0.5,500,500,0,0.994,0.006,0
500,0.75,1,"Oracle-GMM",0.5,500,500,0,1,0,0
500,0.9,1,"Oracle-GMM",0.5,500,500,0,0.954,0.046,0
500,0.1,0.1,"Full-GMM",0.5,500,500,0,0.058,0.942,0
500,0.25,0.1,"Full-GMM",0.5,500,500,0,0.05,0.95,0
500,0.5,0.1,"Full-GMM",0.5,500,500,0,0.06,0.94,0
500,0.75,0.1,"Full-GMM",0.5,500,500,0,0.068,0.932,0
500,0.9,0.1,"Full-GMM",0.5,500,500,0,0.052,0.948,0
500,0.1,0.25,"Full-GMM",0.5,500,500,0,0.05,0.95,0
500,0.25,0.25,"Full-GMM",0.5,500,500,0,0.07,0.93,0
500,0.5,0.25,"Full-GMM",0.5,500,500,0,0.082,0.918,0
500,0.75,0.25,"Full-GMM",0.5,500,500,0,0.106,0.894,0
500,0.9,0.25,"Full-GMM",0.5,500,500,0,0.116,0.884,0
500,0.1,0.5,"Full-GMM",0.5,500,500,0,0.068,0.932,0
500,0.25,0.5,"Full-GMM",0.5,500,500,0,0.092,0.908,0
500,0.5,0.5,"Full-GMM",0.5,500,500,0,0.276,0.724,0
500,0.75,0.5,"Full-GMM",0.5,500,500,0,0.41,0.59,0
500,0.9,0.5,"Full-GMM",0.5,500,500,0,0.324,0.676,0
500,0.1,1,"Full-GMM",0.5,500,500,0,0.05,0.95,0
500,0.25,1,"Full-GMM",0.5,500,500,0,0.242,0.758,0
500,0.5,1,"Full-GMM",0.5,500,500,0,0.854,0.146,0
500,0.75,1,"Full-GMM",0.5,500,500,0,0.922,0.078,0
500,0.9,1,"Full-GMM",0.5,500,500,0,0.834,0.166,0
500,0.1,0.1,"DML-IVQR-BC",0.5,500,500,0,0.062,0.938,0
500,0.25,0.1,"DML-IVQR-BC",0.5,500,500,0,0.034,0.966,0
500,0.5,0.1,"DML-IVQR-BC",0.5,500,500,0,0.03,0.97,0
500,0.75,0.1,"DML-IVQR-BC",0.5,500,500,0,0.044,0.956,0
500,0.9,0.1,"DML-IVQR-BC",0.5,500,500,0,0.068,0.932,0
500,0.1,0.25,"DML-IVQR-BC",0.5,500,500,0,0.036,0.964,0
500,0.25,0.25,"DML-IVQR-BC",0.5,500,500,0,0.052,0.948,0
500,0.5,0.25,"DML-IVQR-BC",0.5,500,500,0,0.072,0.928,0
500,0.75,0.25,"DML-IVQR-BC",0.5,500,500,0,0.158,0.842,0
500,0.9,0.25,"DML-IVQR-BC",0.5,500,500,0,0.154,0.846,0
500,0.1,0.5,"DML-IVQR-BC",0.5,500,500,0,0.042,0.958,0
500,0.25,0.5,"DML-IVQR-BC",0.5,500,500,0,0.144,0.856,0
500,0.5,0.5,"DML-IVQR-BC",0.5,500,500,0,0.392,0.608,0
500,0.75,0.5,"DML-IVQR-BC",0.5,500,500,0,0.574,0.426,0
500,0.9,0.5,"DML-IVQR-BC",0.5,500,500,0,0.53,0.47,0
500,0.1,1,"DML-IVQR-BC",0.5,500,500,0,0.058,0.942,0
500,0.25,1,"DML-IVQR-BC",0.5,500,500,0,0.668,0.332,0
500,0.5,1,"DML-IVQR-BC",0.5,500,500,0,0.984,0.016,0
