"n","replication","tau","kappa","estimator","Delta","a_false","W_false","rejected_false","rejection","false_acceptance","power_evaluation_failed"
1000,1,0.25,0.5,"DML-IVQR-BC",-1,-0.674489750196082,34.1520535313318,TRUE,TRUE,0,FALSE
1000,1,0.25,0.5,"DML-IVQR-BC",-0.5,-0.174489750196082,13.50667027263,TRUE,TRUE,0,FALSE
1000,1,0.25,0.5,"DML-IVQR-BC",-0.25,0.0755102498039183,2.0055119105865,FALSE,FALSE,1,FALSE
1000,1,0.25,0.5,"DML-IVQR-BC",0.25,0.575510249803918,5.26173806421172,FALSE,FALSE,1,FALSE
1000,1,0.25,0.5,"DML-IVQR-BC",0.5,0.825510249803918,9.99101784495809,TRUE,TRUE,0,FALSE
1000,1,0.25,0.5,"DML-IVQR-BC",1,1.32551024980392,15.257646624038,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"Oracle-GMM",-1,0,24.2692525701749,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"Oracle-GMM",-0.5,0.5,13.9214503731462,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"Oracle-GMM",-0.25,0.75,0.978418843357076,FALSE,FALSE,1,FALSE
1000,1,0.5,0.5,"Oracle-GMM",0.25,1.25,10.5983668074476,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"Oracle-GMM",0.5,1.5,22.9875043422156,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"Oracle-GMM",1,2,35.2248741684628,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"Full-GMM",-1,0,18.9571208406428,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"Full-GMM",-0.5,0.5,10.7940458744291,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"Full-GMM",-0.25,0.75,0.724981877149376,FALSE,FALSE,1,FALSE
1000,1,0.5,0.5,"Full-GMM",0.25,1.25,3.52573027557934,FALSE,FALSE,1,FALSE
1000,1,0.5,0.5,"Full-GMM",0.5,1.5,10.8495150321515,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"Full-GMM",1,2,30.0098663899252,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"DML-IVQR-BC",-1,0,31.2144642261328,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"DML-IVQR-BC",-0.5,0.5,13.8205584400921,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"DML-IVQR-BC",-0.25,0.75,2.13788069360502,FALSE,FALSE,1,FALSE
1000,1,0.5,0.5,"DML-IVQR-BC",0.25,1.25,13.5538933316314,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"DML-IVQR-BC",0.5,1.5,23.4290285731446,TRUE,TRUE,0,FALSE
1000,1,0.5,0.5,"DML-IVQR-BC",1,2,28.8227523539608,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"Oracle-GMM",-1,0.674489750196082,2.944476283349,FALSE,FALSE,1,FALSE
1000,1,0.75,0.5,"Oracle-GMM",-0.5,1.17448975019608,3.56257795158719,FALSE,FALSE,1,FALSE
1000,1,0.75,0.5,"Oracle-GMM",-0.25,1.42448975019608,0.26117380246339,FALSE,FALSE,1,FALSE
1000,1,0.75,0.5,"Oracle-GMM",0.25,1.92448975019608,11.4428678398003,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"Oracle-GMM",0.5,2.17448975019608,25.8552562213895,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"Oracle-GMM",1,2.67448975019608,35.4659307735218,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"Full-GMM",-1,0.674489750196082,7.74449221847614,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"Full-GMM",-0.5,1.17448975019608,2.24386649389516,FALSE,FALSE,1,FALSE
1000,1,0.75,0.5,"Full-GMM",-0.25,1.42448975019608,0.0785234405621772,FALSE,FALSE,1,FALSE
1000,1,0.75,0.5,"Full-GMM",0.25,1.92448975019608,12.5411084918876,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"Full-GMM",0.5,2.17448975019608,16.620014006914,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"Full-GMM",1,2.67448975019608,22.805022426686,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"DML-IVQR-BC",-1,0.674489750196082,6.70565190066238,TRUE,TRUE,0,FALSE
1000,1,0.75,0.5,"DML-IVQR-BC",-0.5,1.17448975019608,1.46253973259825,FALSE,FALSE,1,FALSE
1000,1,0.75,0.5,"DML-IVQR-BC",-0.25,1.42448975019608,0.159070722171209,FALSE,FALSE,1,FALSE
