"n","tau","kappa","estimator","Bias","MAE","RMSE"
500,0.75,0.1,"Full-GMM",0.488289750196081,1.04780407303686,1.28815233576878
500,0.75,0.1,"DML-IVQR-BC",0.159489750196081,0.82811428699451,1.05519286408581
500,0.9,1,"Oracle-GMM",0.111351565544601,0.17931031310892,0.245786759507573
500,0.9,1,"Full-GMM",0.735951565544601,0.751248821514497,0.879764370060273
500,0.9,1,"DML-IVQR-BC",0.243951565544601,0.253893664960037,0.306232928228924
500,0.9,0.5,"Oracle-GMM",0.348151565544601,0.509617219176244,0.822042549136695
500,0.9,0.5,"Full-GMM",1.0045515655446,1.08739092092993,1.36244443844074
500,0.9,0.5,"DML-IVQR-BC",0.285751565544601,0.372839926412695,0.538791534093837
500,0.9,0.25,"Oracle-GMM",0.593551565544601,0.84155307553585,1.23652717760688
500,0.9,0.25,"Full-GMM",1.0713515655446,1.2303426704428,1.55097070797448
500,0.9,0.25,"DML-IVQR-BC",0.378151565544601,0.663205488060207,0.974744605793657
500,0.9,0.1,"Oracle-GMM",0.811951565544601,1.09687720077942,1.45587814901877
500,0.9,0.1,"Full-GMM",1.2655515655446,1.41568817689983,1.73048107907957
500,0.9,0.1,"DML-IVQR-BC",0.647951565544601,0.968077200779418,1.32163242669499
1000,0.1,1,"Oracle-GMM",-0.0543515655446009,0.0929551565544601,0.121054750741758
1000,0.1,1,"Full-GMM",-0.329351565544601,0.337429521319643,0.387049885320587
1000,0.1,1,"DML-IVQR-BC",-0.00495156554460087,0.116953830531474,0.150123142790652
1000,0.1,0.5,"Oracle-GMM",-0.100751565544601,0.193964806651887,0.286604671908341
1000,0.1,0.5,"Full-GMM",-0.407151565544601,0.465466795686366,0.630013521541736
1000,0.1,0.5,"DML-IVQR-BC",-0.158951565544601,0.306324125243568,0.482177187545284
1000,0.1,0.25,"Oracle-GMM",-0.383551565544601,0.566026869273671,0.934166903412722
1000,0.1,0.25,"Full-GMM",-0.772951565544601,0.914490257918441,1.24190183294729
1000,0.1,0.25,"DML-IVQR-BC",-0.681151565544601,0.843801326022986,1.2286607730549
1000,0.1,0.1,"Oracle-GMM",-0.746951565544601,0.974517882187737,1.37583410383285
1000,0.1,0.1,"Full-GMM",-1.0737515655446,1.25063784539408,1.58175269385245
1000,0.1,0.1,"DML-IVQR-BC",-0.932351565544601,1.14618959490695,1.513994320258
1000,0.25,1,"Oracle-GMM",-0.0184897501960818,0.0625428609835292,0.0769796782424654
1000,0.25,1,"Full-GMM",-0.0978897501960818,0.126253039094904,0.153149741081894
1000,0.25,1,"DML-IVQR-BC",0.0437102498039182,0.0784081908815666,0.0965367595163673
1000,0.25,0.5,"Oracle-GMM",-0.0292897501960818,0.112604081998431,0.147019894798455
1000,0.25,0.5,"Full-GMM",-0.114489750196082,0.201444884059609,0.258665619864645
1000,0.25,0.5,"DML-IVQR-BC",-8.97501960818021e-05,0.144930623949803,0.198052134689575
1000,0.25,0.25,"Oracle-GMM",-0.131089750196082,0.331689795003922,0.550128132898574
1000,0.25,0.25,"Full-GMM",-0.232489750196082,0.485673458048628,0.706149760281937
1000,0.25,0.25,"DML-IVQR-BC",-0.198689750196082,0.405281631007059,0.647450366308477
1000,0.25,0.1,"Oracle-GMM",-0.235489750196082,0.69588571300549,0.954208793947851
1000,0.25,0.1,"Full-GMM",-0.409689750196082,0.877893868040785,1.13567893852784
1000,0.25,0.1,"DML-IVQR-BC",-0.490489750196082,0.861730606026667,1.15666944069921
1000,0.5,1,"Oracle-GMM",0.00679999999999995,0.0472,0.0715541752799932
1000,0.5,1,"Full-GMM",0.00699999999999994,0.0718,0.100498756211209
1000,0.5,1,"DML-IVQR-BC",0.0703999999999999,0.0791999999999999,0.103537432844358
1000,0.5,0.5,"Oracle-GMM",0.0149999999999999,0.093,0.134089522334894
1000,0.5,0.5,"Full-GMM",0.0135999999999999,0.1508,0.198695747312317
1000,0.5,0.5,"DML-IVQR-BC",0.0591999999999999,0.1188,0.159624559513879
1000,0.5,0.25,"Oracle-GMM",0.0453999999999999,0.2806,0.431300359378473
1000,0.5,0.25,"Full-GMM",0.0293999999999999,0.3718,0.50029991005396
1000,0.5,0.25,"DML-IVQR-BC",-0.00340000000000011,0.3058,0.447995535692042
1000,0.5,0.1,"Oracle-GMM",-0.0438000000000001,0.7354,0.945335919131395
1000,0.5,0.1,"Full-GMM",-0.0120000000000001,0.8396,1.01841052626139
1000,0.5,0.1,"DML-IVQR-BC",-0.1952,0.7792,0.990858213873206
1000,0.75,1,"Oracle-GMM",0.0248897501960815,0.0683224509913725,0.0850843091575841
1000,0.75,1,"Full-GMM",0.125689750196081,0.150640793099609,0.185947501473812
1000,0.75,1,"DML-IVQR-BC",0.104689750196081,0.113330579141963,0.13292066730241
1000,0.75,0.5,"Oracle-GMM",0.0554897501960814,0.133502040999216,0.188939441030251
1000,0.75,0.5,"Full-GMM",0.175489750196081,0.244489777080786,0.332469024758523
1000,0.75,0.5,"DML-IVQR-BC",0.111089750196081,0.149093859079217,0.203030472093791
1000,0.75,0.25,"Oracle-GMM",0.186289750196081,0.380881631007059,0.603742189206716
1000,0.75,0.25,"Full-GMM",0.304289750196081,0.516587745043138,0.74458324724264
1000,0.75,0.25,"DML-IVQR-BC",0.131889750196081,0.33553877002353,0.516255892176336
1000,0.75,0.1,"Oracle-GMM",0.256089750196081,0.78768571300549,1.05786738306628
1000,0.75,0.1,"Full-GMM",0.422489750196081,0.907416319032157,1.14673169879477
1000,0.75,0.1,"DML-IVQR-BC",0.136489750196081,0.75311428699451,0.982255288562291
1000,0.9,1,"Oracle-GMM",0.0721515655446006,0.109698581992883,0.147707441960576
1000,0.9,1,"Full-GMM",0.386751565544601,0.396934346368357,0.465434993797415
1000,0.9,1,"DML-IVQR-BC",0.183151565544601,0.18583917141707,0.215364658106752
1000,0.9,0.5,"Oracle-GMM",0.211351565544601,0.295100663011493,0.539779069859284
1000,0.9,0.5,"Full-GMM",0.583551565544601,0.62912885830815,0.870912412157247
1000,0.9,0.5,"DML-IVQR-BC",0.225551565544601,0.259933020345371,0.396405737495839
