"n","tau","kappa","estimator","median_grid_accepted_set_measure","mean_grid_accepted_set_measure","median_accepted_grid_share","mean_accepted_grid_share","mean_number_accepted_grid_points","left_boundary_acceptance_rate","right_boundary_acceptance_rate","either_boundary_acceptance_rate","both_boundaries_acceptance_rate","all_41_acceptance_rate","computational_domain","measure_definition"
500,0.75,0.25,"DML-IVQR-BC",3.35,3.0891,0.829268292682927,0.768878048780488,31.524,0.552,0.714,0.854,0.412,0.226,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,0.1,"Oracle-GMM",4,3.7311,1,0.932,38.212,0.906,0.896,0.988,0.814,0.564,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,0.1,"Full-GMM",3.9,3.7598,0.975609756097561,0.939463414634146,38.518,0.928,0.912,0.992,0.848,0.426,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.75,0.1,"DML-IVQR-BC",4,3.6606,1,0.914634146341463,37.5,0.842,0.946,0.994,0.794,0.524,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,1,"Oracle-GMM",1,1.1306,0.24390243902439,0.275951219512195,11.314,0.012,0.004,0.016,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,1,"Full-GMM",2,2.0133,0.48780487804878,0.494243902439024,20.264,0.16,0.102,0.246,0.016,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,1,"DML-IVQR-BC",0.7,0.7927,0.170731707317073,0.193365853658537,7.928,0.002,0,0.002,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,0.5,"Oracle-GMM",3.3,2.944,0.817073170731707,0.729073170731707,29.892,0.558,0.346,0.698,0.206,0.098,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,0.5,"Full-GMM",3.35,3.293,0.829268292682927,0.81809756097561,33.542,0.64,0.584,0.834,0.39,0.022,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,0.5,"DML-IVQR-BC",2.3,2.3466,0.560975609756098,0.580048780487805,23.782,0.294,0.338,0.538,0.094,0.028,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,0.25,"Oracle-GMM",3.9,3.6173,0.975609756097561,0.902536585365854,37.004,0.872,0.79,0.978,0.684,0.446,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,0.25,"Full-GMM",3.8,3.7148,0.951219512195122,0.927707317073171,38.036,0.898,0.878,0.996,0.78,0.19,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,0.25,"DML-IVQR-BC",3.75,3.401,0.926829268292683,0.848731707317073,34.798,0.738,0.838,0.978,0.598,0.326,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,0.1,"Oracle-GMM",4,3.779,1,0.944292682926829,38.716,0.938,0.914,0.996,0.856,0.616,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,0.1,"Full-GMM",3.9,3.8164,0.975609756097561,0.953951219512195,39.112,0.936,0.96,0.996,0.9,0.292,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.9,0.1,"DML-IVQR-BC",4,3.7037,1,0.925658536585366,37.952,0.884,0.946,0.998,0.832,0.558,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,1,"Oracle-GMM",0.4,0.3788,0.0975609756097561,0.092390243902439,3.788,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,1,"Full-GMM",0.8,0.7664,0.195121951219512,0.186926829268293,7.664,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,1,"DML-IVQR-BC",0.6,0.6678,0.146341463414634,0.162878048780488,6.678,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.5,"Oracle-GMM",1,1.2909,0.24390243902439,0.316341463414634,12.97,0.05,0.072,0.122,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.5,"Full-GMM",1.9,1.941,0.463414634146341,0.477170731707317,19.564,0.176,0.132,0.292,0.016,0.002,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
