"n","tau","kappa","estimator","range","total_replications","successful_profiles","failed_profiles","median_grid_accepted_set_measure","mean_grid_accepted_set_measure","median_accepted_grid_share","mean_accepted_grid_share","median_number_accepted_grid_points","mean_number_accepted_grid_points","left_boundary_acceptance_rate","right_boundary_acceptance_rate","either_boundary_acceptance_rate","both_boundaries_acceptance_rate","all_grid_points_acceptance_rate"
1000,0.75,0.25,"DML-IVQR-BC","A_2_-5_7",100,100,0,3.9,4.788,0.322314049586777,0.398264462809917,39,48.19,0.07,0.55,0.55,0.07,0.03
1000,0.75,0.25,"Full-GMM","A_0_-1_3",100,100,0,2.95,2.827,0.731707317073171,0.700487804878049,30,28.72,0.54,0.36,0.65,0.25,0.08
1000,0.75,0.25,"Full-GMM","A_1_-3_5",100,100,0,4.45,4.267,0.555555555555556,0.531234567901235,45,43.03,0.42,0.3,0.55,0.17,0.01
1000,0.75,0.25,"Full-GMM","A_2_-5_7",100,100,0,5.15,5.478,0.429752066115702,0.455537190082645,52,55.12,0.35,0.33,0.53,0.15,0
1000,0.75,0.25,"Oracle-GMM","A_0_-1_3",100,100,0,2.825,2.628,0.695121951219512,0.650487804878049,28.5,26.67,0.55,0.23,0.62,0.16,0.07
1000,0.75,0.25,"Oracle-GMM","A_1_-3_5",100,100,0,4.2,3.945,0.518518518518518,0.490617283950617,42,39.74,0.39,0.19,0.47,0.11,0.05
1000,0.75,0.25,"Oracle-GMM","A_2_-5_7",100,100,0,4.85,4.99,0.400826446280992,0.414380165289256,48.5,50.14,0.31,0.17,0.37,0.11,0.04
1000,0.75,1,"DML-IVQR-BC","A_0_-1_3",100,100,0,0.3,0.279,0.0731707317073171,0.0680487804878049,3,2.79,0,0,0,0,0
1000,0.75,1,"DML-IVQR-BC","A_1_-3_5",100,100,0,0.3,0.279,0.037037037037037,0.0344444444444444,3,2.79,0,0,0,0,0
1000,0.75,1,"DML-IVQR-BC","A_2_-5_7",100,100,0,0.3,0.279,0.0247933884297521,0.0230578512396694,3,2.79,0,0,0,0,0
1000,0.75,1,"Full-GMM","A_0_-1_3",100,100,0,0.5,0.512,0.121951219512195,0.124878048780488,5,5.12,0,0,0,0,0
1000,0.75,1,"Full-GMM","A_1_-3_5",100,100,0,0.5,0.512,0.0617283950617284,0.0632098765432099,5,5.12,0,0,0,0,0
1000,0.75,1,"Full-GMM","A_2_-5_7",100,100,0,0.5,0.512,0.0413223140495868,0.0423140495867769,5,5.12,0,0,0,0,0
1000,0.75,1,"Oracle-GMM","A_0_-1_3",100,100,0,0.3,0.29,0.0731707317073171,0.0707317073170732,3,2.9,0,0,0,0,0
1000,0.75,1,"Oracle-GMM","A_1_-3_5",100,100,0,0.3,0.29,0.037037037037037,0.0358024691358025,3,2.9,0,0,0,0,0
1000,0.75,1,"Oracle-GMM","A_2_-5_7",100,100,0,0.3,0.29,0.0247933884297521,0.0239669421487603,3,2.9,0,0,0,0,0
1000,0.9,0.1,"DML-IVQR-BC","A_0_-1_3",100,100,0,4,3.6445,1,0.91,41,37.31,0.79,0.94,0.99,0.74,0.51
1000,0.9,0.1,"DML-IVQR-BC","A_1_-3_5",100,99,1,7.7,7.04191919191919,0.962962962962963,0.879785509415139,78,71.2626262626263,0.747474747474748,0.939393939393939,0.97979797979798,0.707070707070707,0.393939393939394
1000,0.9,0.1,"DML-IVQR-BC","A_2_-5_7",100,99,1,11.6,10.3949494949495,0.966942148760331,0.866099006594874,117,104.79797979798,0.757575757575758,0.939393939393939,0.98989898989899,0.707070707070707,0.343434343434343
1000,0.9,0.1,"Full-GMM","A_0_-1_3",100,100,0,3.9,3.8175,0.975609756097561,0.95390243902439,40,39.11,0.96,0.91,1,0.87,0.38
1000,0.9,0.1,"Full-GMM","A_1_-3_5",100,100,0,7.7,7.448,0.962962962962963,0.930493827160494,78,75.37,0.9,0.88,0.99,0.79,0.11
1000,0.9,0.1,"Full-GMM","A_2_-5_7",100,100,0,11.5,11.0315,0.958677685950413,0.919504132231405,116,111.26,0.97,0.92,0.99,0.9,0.06
1000,0.9,0.1,"Oracle-GMM","A_0_-1_3",100,100,0,4,3.712,1,0.926829268292683,41,38,0.88,0.88,0.98,0.78,0.62
1000,0.9,0.1,"Oracle-GMM","A_1_-3_5",100,100,0,7.9,7.241,0.987654320987654,0.904691358024691,80,73.28,0.87,0.87,1,0.74,0.45
1000,0.9,0.1,"Oracle-GMM","A_2_-5_7",100,100,0,11.8,10.7705,0.983471074380165,0.897520661157025,119,108.6,0.89,0.9,1,0.79,0.43
1000,0.9,0.25,"DML-IVQR-BC","A_0_-1_3",100,100,0,3.45,3.1135,0.853658536585366,0.773658536585366,35,31.72,0.6,0.57,0.82,0.35,0.21
1000,0.9,0.25,"DML-IVQR-BC","A_1_-3_5",100,100,0,5.4,5.249,0.672839506172839,0.654814814814815,54.5,53.04,0.44,0.66,0.77,0.33,0.1
1000,0.9,0.25,"DML-IVQR-BC","A_2_-5_7",100,100,0,7.3,7.374,0.607438016528926,0.613719008264463,73.5,74.26,0.31,0.73,0.79,0.25,0.06
1000,0.9,0.25,"Full-GMM","A_0_-1_3",100,100,0,3.675,3.555,0.902439024390244,0.884878048780488,37,36.28,0.82,0.64,0.96,0.5,0.11
1000,0.9,0.25,"Full-GMM","A_1_-3_5",100,100,0,6.15,6.123,0.765432098765432,0.762962962962963,62,61.8,0.66,0.48,0.8,0.34,0.06
1000,0.9,0.25,"Full-GMM","A_2_-5_7",100,100,0,8.575,8.432,0.714876033057851,0.701487603305785,86.5,84.88,0.7,0.42,0.82,0.3,0.03
1000,0.9,0.25,"Oracle-GMM","A_0_-1_3",100,100,0,3.65,3.381,0.902439024390244,0.839512195121951,37,34.42,0.72,0.5,0.85,0.37,0.25
1000,0.9,0.25,"Oracle-GMM","A_1_-3_5",100,100,0,5.85,5.6255,0.728395061728395,0.700987654320988,59,56.78,0.72,0.33,0.76,0.29,0.09
1000,0.9,0.25,"Oracle-GMM","A_2_-5_7",100,100,0,7.85,7.675,0.652892561983471,0.638429752066116,79,77.25,0.67,0.33,0.76,0.24,0.06
1000,0.9,1,"DML-IVQR-BC","A_0_-1_3",100,100,0,0.4,0.454,0.0975609756097561,0.110731707317073,4,4.54,0,0,0,0,0
1000,0.9,1,"DML-IVQR-BC","A_1_-3_5",100,100,0,0.4,0.454,0.0493827160493827,0.0560493827160494,4,4.54,0,0,0,0,0
1000,0.9,1,"DML-IVQR-BC","A_2_-5_7",100,100,0,0.4,0.454,0.0330578512396694,0.0375206611570248,4,4.54,0,0,0,0,0
1000,0.9,1,"Full-GMM","A_0_-1_3",100,100,0,1,1.026,0.24390243902439,0.250243902439024,10,10.26,0,0,0,0,0
1000,0.9,1,"Full-GMM","A_1_-3_5",100,100,0,1,1.031,0.123456790123457,0.127283950617284,10,10.31,0,0,0,0,0
1000,0.9,1,"Full-GMM","A_2_-5_7",100,100,0,1,1.031,0.0826446280991736,0.0852066115702479,10,10.31,0,0,0,0,0
1000,0.9,1,"Oracle-GMM","A_0_-1_3",100,100,0,0.5,0.519,0.121951219512195,0.126585365853659,5,5.19,0,0,0,0,0
1000,0.9,1,"Oracle-GMM","A_1_-3_5",100,100,0,0.5,0.519,0.0617283950617284,0.0640740740740741,5,5.19,0,0,0,0,0
1000,0.9,1,"Oracle-GMM","A_2_-5_7",100,100,0,0.5,0.519,0.0413223140495868,0.0428925619834711,5,5.19,0,0,0,0,0
