"n","tau","kappa","estimator","rows","duplicate_replication_rows","missing_replication_count","missing_replication_ids","unexpected_replication_count","unexpected_replication_ids","na_W_true","nan_W_true","positive_inf_W_true","negative_inf_W_true","negative_finite_W_true","above_chisq2_q99","above_chisq2_q999","profile_failed_true","coverage_failed_true","any_failed_true","rejection_indicator_mismatches","coverage_indicator_mismatches","coverage_rejection_complement_mismatches","alpha_true_formula_mismatches"
1000,0.5,0.1,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,6,0,0,0,0,0,0,0,0
1000,0.5,0.1,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,5,1,0,0,0,0,0,0,0
1000,0.75,1,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,104,43,0,0,0,0,0,0,0
1000,0.75,1,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,49,21,0,0,0,0,0,0,0
1000,0.75,1,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,24,6,0,0,0,0,0,0,0
1000,0.75,0.5,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,28,6,0,0,0,0,0,0,0
1000,0.75,0.5,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,12,5,0,0,0,0,0,0,0
1000,0.75,0.5,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,10,2,0,0,0,0,0,0,0
1000,0.75,0.25,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,11,2,0,0,0,0,0,0,0
1000,0.75,0.25,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,10,0,0,0,0,0,0,0,0
1000,0.75,0.25,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,6,1,0,0,0,0,0,0,0
1000,0.75,0.1,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,7,1,0,0,0,0,0,0,0
1000,0.75,0.1,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,5,1,0,0,0,0,0,0,0
1000,0.75,0.1,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,8,2,0,0,0,0,0,0,0
1000,0.9,1,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,136,64,0,0,0,0,0,0,0
1000,0.9,1,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,155,77,0,0,0,0,0,0,0
1000,0.9,1,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,11,4,0,0,0,0,0,0,0
1000,0.9,0.5,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,31,8,0,0,0,0,0,0,0
1000,0.9,0.5,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,31,9,0,0,0,0,0,0,0
1000,0.9,0.5,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,6,1,0,0,0,0,0,0,0
1000,0.9,0.25,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,10,0,0,0,0,0,0,0,0
1000,0.9,0.25,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,4,0,0,0,0,0,0,0,0
1000,0.9,0.25,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,2,0,0,0,0,0,0,0,0
1000,0.9,0.1,"DML-IVQR-BC",500,0,0,"",0,"",0,0,0,0,0,7,0,0,0,0,0,0,0,0
1000,0.9,0.1,"Full-GMM",500,0,0,"",0,"",0,0,0,0,0,5,1,0,0,0,0,0,0,0
1000,0.9,0.1,"Oracle-GMM",500,0,0,"",0,"",0,0,0,0,0,2,0,0,0,0,0,0,0,0
