"n","tau","kappa","estimator","total_rows","R_available","number_missing","number_non_finite","empirical_coverage","empirical_size","coverage_mcse","coverage_mc95_lower","coverage_mc95_upper","nominal_0p95_inside_mc_interval","mean_W_true","sd_W_true","min_W_true","q10_W_true","q25_W_true","median_W_true","q75_W_true","q90_W_true","q95_W_true","q99_W_true","max_W_true","empirical_rejection_rate","q95_ratio_to_chisq2_q95","mean_minus_chisq2_mean","variance_minus_chisq2_variance","max_abs_ecdf_difference_chisq2","summary_reported_coverage","summary_reported_size","summary_coverage_abs_difference","summary_size_abs_difference"
500,0.5,0.25,"Oracle-GMM",500,500,0,0,0.944,0.056,0.0102824121683582,0.920255206353293,0.960974379316848,TRUE,2.00711230925052,2.007520381584,0.00362253219567243,0.205557396634667,0.602402481198479,1.44460102284935,2.63096406900553,4.58374109085181,6.27896080593526,8.79987963199277,12.8654813916217,0.056,1.04798430443289,0.0071123092505192,0.0301380824751565,0.0323234260545734,0.944,0.056,0,4.85722573273506e-17
500,0.5,0.25,"Full-GMM",500,500,0,0,0.962,0.038,0.00855055553750749,0.941415227469356,0.97553988194417,TRUE,1.99932117293809,1.94402694806168,0.00147606098649291,0.293517611193452,0.66088528780077,1.42139860821701,2.81481633907575,4.51453977441024,5.5803706876829,7.92405221962802,20.2602836055868,0.038,0.931386749234207,-0.000678827061912468,-0.220759225209999,0.0510668537131251,0.962,0.038,0,3.46944695195361e-17
500,0.5,0.25,"DML-IVQR-BC",500,500,0,0,0.966,0.034,0.00810481338464989,0.946228634498365,0.978665480191468,TRUE,1.77697622252005,1.73255429716402,0.0020454081899767,0.188167776540654,0.553417151916458,1.2440154840417,2.46126681483151,4.10363851097626,5.39334935277165,8.28026951267501,10.6530699688297,0.034,0.900172121585025,-0.223023777479946,-0.998255607378487,0.072879319820763,0.966,0.034,0,2.77555756156289e-17
500,0.5,0.1,"Oracle-GMM",500,500,0,0,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE,2.0323738568358,2.10393886056792,0.00416641469137212,0.240623210769475,0.639324536360466,1.42604284273045,2.62755934524112,4.50049966641327,6.126714926396,10.556664471906,14.5760236582777,0.052,1.02257384287675,0.0323738568358007,0.426558729007835,0.0341414750525612,0.948,0.052,0,4.85722573273506e-17
500,0.5,0.1,"Full-GMM",500,500,0,0,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE,2.03742067490956,1.93342033989481,0.00140159039598672,0.201144598159772,0.595847437191605,1.42574684407959,2.91995372571337,4.64764605388691,6.02124410553245,8.19366316254408,12.0789966117813,0.052,1.00497033040759,0.0374206749095634,-0.26188578928105,0.0315288776511392,0.948,0.052,0,4.85722573273506e-17
500,0.5,0.1,"DML-IVQR-BC",500,500,0,0,0.958,0.042,0.00897061870775924,0.93664841424567,0.972367689891548,TRUE,1.85630662770906,1.93160211947013,0.00171121391966332,0.22140224499957,0.549127840511494,1.24727427293139,2.43065199790699,4.31407139991521,5.60012192514148,8.76597451394413,13.6726607871758,0.042,0.934683311752985,-0.143693372290941,-0.26891325205849,0.0524315872414343,0.958,0.042,0,3.46944695195361e-17
500,0.75,1,"Oracle-GMM",500,500,0,0,0.912,0.088,0.0126693330526907,0.88392352793461,0.933794015525071,FALSE,2.40309652702495,2.4542826030433,0.0124579791861327,0.217300176762919,0.55906225188333,1.49769155145618,3.53315321407848,5.82275971951096,7.39759935412107,11.024521475537,13.7852919084238,0.088,1.23468966493206,0.403096527024953,2.02350309560101,0.0890066069278707,0.912,0.088,0,2.77555756156289e-17
500,0.75,1,"Full-GMM",500,500,0,0,0.832,0.168,0.0167198086113448,0.796725670910373,0.862211767023156,FALSE,3.29971683165316,3.08817473645572,0.00138187568615777,0.362242384591867,1.00270760872224,2.33279210314412,4.4549796386935,7.59590215979689,9.56358170212432,13.1679464243897,22.6157642632302,0.168,1.59620100009447,1.29971683165316,5.53682320288337,0.210865219523402,0.832,0.168,0,2.77555756156289e-17
500,0.75,1,"DML-IVQR-BC",500,500,0,0,0.77,0.23,0.0188202019117755,0.731137781325232,0.80474507482553,FALSE,3.97268037618001,3.74528356766756,0.00544459376304963,0.557785866155322,1.18204655659268,2.70708557720552,5.55793644389311,9.45377078373892,11.5717259857921,15.7052000404593,20.8894069692054,0.23,1.93136851512835,1.97268037618001,10.0271490022406,0.254494585896384,0.77,0.23,0,2.77555756156289e-17
500,0.75,0.5,"Oracle-GMM",500,500,0,0,0.936,0.0639999999999999,0.0109456840809517,0.911047591162316,0.954303983955211,TRUE,2.02240632741965,2.00328659313937,0.00434078630569307,0.188977556751952,0.581918705043818,1.37669068863524,2.86530991818306,4.73336701040502,6.39066527961374,9.18043393317781,10.4045813320441,0.064,1.066628239117,0.0224063274196524,0.0131571742519441,0.0214030796485782,0.936,0.064,0,5.55111512312578e-17
500,0.75,0.5,"Full-GMM",500,500,0,0,0.94,0.0600000000000001,0.0106207344378814,0.91563893687478,0.957651643519054,TRUE,2.08709801397961,2.095978727968,0.00379199096166069,0.220978822194289,0.667473200306275,1.48154411886089,2.68557652102439,4.89516711950374,6.98884803219953,9.10657013792318,13.0563409365853,0.06,1.16646739328083,0.0870980139796145,0.393126828094353,0.0374958185919469,0.94,0.06,0,5.55111512312578e-17
500,0.75,0.5,"DML-IVQR-BC",500,500,0,0,0.926,0.074,0.0117067501895274,0.899665246677769,0.945838815248988,FALSE,2.25126067801275,2.1684020833185,0.00902063455569987,0.227382641867929,0.654989766324536,1.70420067542543,3.00887467510278,5.22121063549965,6.91876343398388,9.59833145514755,13.4246260634627,0.074,1.15476998646742,0.251260678012753,0.701967594940011,0.0775865907355983,0.926,0.074,0,4.16333634234434e-17
500,0.75,0.25,"Oracle-GMM",500,500,0,0,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE,2.02882975473081,1.97554414473454,0.00276603529936646,0.194246970712488,0.585357806783962,1.43719034712218,2.75364501294736,4.60724095555992,6.0530078561807,8.526770568782,11.5376894028894,0.052,1.0102718306332,0.0288297547308143,-0.0972253322050931,0.022727974800158,0.948,0.052,0,4.85722573273506e-17
500,0.75,0.25,"Full-GMM",500,500,0,0,0.94,0.0600000000000001,0.0106207344378814,0.91563893687478,0.957651643519054,TRUE,2.05928876739413,2.10169041031652,0.00194265476131207,0.232052475353833,0.629776531589464,1.44345436027162,2.81196640348549,4.65583197935153,6.30112572432079,10.0130512163609,13.7614063016971,0.06,1.0516837201953,0.0592887673941278,0.417102580816433,0.0292710566846862,0.94,0.06,0,5.55111512312578e-17
500,0.75,0.25,"DML-IVQR-BC",500,500,0,0,0.94,0.0600000000000001,0.0106207344378814,0.91563893687478,0.957651643519054,TRUE,2.06724080694301,2.00519451430887,0.00038327405752374,0.204991686656377,0.615630148854497,1.42959001367305,2.95663205258081,4.63770229520169,6.25907178582994,9.15361108303611,11.0409103262383,0.06,1.04466474542541,0.0672408069430097,0.0208050402143867,0.0301705822496643,0.94,0.06,0,5.55111512312578e-17
